datetime_id,randseed,trial,Vmin,threshold,H,run_time,dozer_x,dozer_y,dozer_Qs,dozer_Qs_tot,washover_V_D,washover_V_ND,washover_A_D,washover_A_ND,lateral_disp,danger_score,crest_mu_D,crest_mu_ND,pulse_time
20250602-131651,19680807,91389,0.02,0.04,4,0.0,480,540,0.0,0.0,0.457,0.457,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-131651,19680807,91389,0.02,0.04,4,2.5,480,410,0.0,0.0,0.457,0.457,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-131651,19680807,91389,0.02,0.04,4,5.01,426,174,0.0,0.0,1.011,1.011,110.0,110.0,0.0,10,1.0,1.0,3.3
20250602-131651,19680807,91389,0.02,0.04,4,7.53,409,204,0.018,0.068,1.011,1.011,110.0,110.0,0.0,10,1.0,1.0,3.3
20250602-131651,19680807,91389,0.02,0.04,4,10.03,220,127,0.0,0.274,2.263,2.358,150.0,157.0,0.001,15,2.0,2.0,9.64
20250602-131651,19680807,91389,0.02,0.04,4,12.52,209,224,0.0,0.593,2.263,2.358,150.0,157.0,0.001,15,2.0,2.0,9.64
20250602-131651,19680807,91389,0.02,0.04,4,15.03,179,86,0.0,1.164,3.705,4.216,191.0,201.0,0.01,25,4.0,4.0,14.98
20250602-131651,19680807,91389,0.02,0.04,4,17.54,169,153,0.0,1.896,3.705,4.216,191.0,201.0,0.01,25,3.0,4.0,14.98
20250602-131651,19680807,91389,0.02,0.04,4,20.04,370,132,0.012,1.896,3.705,4.216,191.0,201.0,0.01,25,3.0,4.0,14.98
20250602-131651,19680807,91389,0.02,0.04,4,22.54,684,66,0.0,2.896,3.705,4.216,191.0,201.0,0.01,25,3.0,4.0,14.98
20250602-131651,19680807,91389,0.02,0.04,4,25.05,687,137,0.0,3.896,4.822,6.283,240.0,233.0,0.011,24,4.0,5.0,23.52
20250602-131651,19680807,91389,0.02,0.04,4,27.55,746,101,0.0,4.896,4.822,6.283,240.0,233.0,0.011,24,4.0,5.0,23.52
20250602-131651,19680807,91389,0.02,0.04,4,30.06,665,157,0.457,4.896,4.822,6.283,240.0,233.0,0.011,24,4.0,5.0,23.52
20250602-131651,19680807,91389,0.02,0.04,4,32.56,678,252,0.0,5.896,2.231,6.283,169.0,233.0,0.211,19,3.0,5.0,23.52
20250602-131651,19680807,91389,0.02,0.04,4,35.07,571,180,0.0,6.896,4.896,8.46,349.0,258.0,0.002,20,3.0,6.0,33.06
20250602-131651,19680807,91389,0.02,0.04,4,37.58,660,64,1.0,6.896,5.887,10.839,373.0,285.0,0.0,30,5.0,8.0,37.51
20250602-131651,19680807,91389,0.02,0.04,4,40.07,736,263,0.104,7.896,5.887,10.839,373.0,285.0,0.0,30,4.0,8.0,37.51
20250602-131651,19680807,91389,0.02,0.04,4,42.58,434,125,0.83,7.896,5.887,10.839,373.0,285.0,0.0,30,4.0,8.0,37.51
20250602-131651,19680807,91389,0.02,0.04,4,45.09,478,287,0.0,8.896,5.887,10.839,373.0,285.0,0.0,27,4.0,8.0,37.51
20250602-131651,19680807,91389,0.02,0.04,4,47.6,376,132,0.0,9.896,6.721,13.307,396.0,299.0,0.222,27,4.0,9.0,45.94
20250602-131651,19680807,91389,0.02,0.04,4,50.1,429,70,1.0,9.896,6.721,13.307,396.0,299.0,0.222,28,4.0,9.0,45.94
20250602-131651,19680807,91389,0.02,0.04,4,52.61,464,247,0.147,10.896,6.721,13.307,396.0,299.0,0.222,23,4.0,9.0,45.94
20250602-131651,19680807,91389,0.02,0.04,4,55.11,218,86,0.0,11.896,5.749,15.88,382.0,310.0,0.333,23,5.0,11.0,54.47
20250602-131651,19680807,91389,0.02,0.04,4,57.61,179,102,0.721,11.896,5.749,15.88,382.0,310.0,0.333,23,5.0,11.0,54.47
20250602-131651,19680807,91389,0.02,0.04,4,60.12,200,242,0.209,12.896,7.999,18.528,426.0,318.0,0.362,22,5.0,13.0,59.86
20250602-131651,19680807,91389,0.02,0.04,4,62.62,113,190,0.0,13.896,7.999,18.528,426.0,318.0,0.362,18,4.0,13.0,59.86
20250602-131651,19680807,91389,0.02,0.04,4,65.12,169,198,0.0,14.896,6.572,18.528,375.0,318.0,0.337,18,4.0,13.0,59.86
20250602-131651,19680807,91389,0.02,0.04,4,67.63,346,140,1.0,14.896,8.089,21.26,434.0,333.0,0.337,28,5.0,14.000000000000002,65.25
20250602-131651,19680807,91389,0.02,0.04,4,70.12,380,148,0.531,15.896,10.194,24.17,425.0,354.0,0.287,36,7.000000000000001,16.0,68.79
20250602-131651,19680807,91389,0.02,0.04,4,72.63,349,289,0.0,16.896,12.734,27.048,504.0,370.0,0.306,34,9.0,18.0,72.37
20250602-131651,19680807,91389,0.02,0.04,4,75.14,422,143,0.0,17.896,12.734,27.048,504.0,370.0,0.306,28,8.0,18.0,72.37
20250602-131651,19680807,91389,0.02,0.04,4,77.63,426,181,0.0,18.896,12.734,27.048,504.0,370.0,0.306,28,8.0,18.0,72.37
20250602-131651,19680807,91389,0.02,0.04,4,80.13,498,89,1.0,18.896,12.734,27.048,504.0,370.0,0.306,28,8.0,18.0,72.37
20250602-131651,19680807,91389,0.02,0.04,4,82.64,460,271,0.102,19.896,14.777,30.205,641.0,389.0,0.32,49,11.0,20.0,82.47
20250602-131651,19680807,91389,0.02,0.04,4,85.15,577,169,0.0,20.896,14.777,30.205,641.0,389.0,0.32,49,11.0,20.0,82.47
20250602-131651,19680807,91389,0.02,0.04,4,87.65,646,79,1.0,20.896,12.843,30.205,567.0,389.0,0.298,49,11.0,20.0,82.47
20250602-131651,19680807,91389,0.02,0.04,4,90.16,626,211,0.376,21.896,20.292,33.316,799.0,406.0,0.346,51,12.0,22.0,89.05
20250602-131651,19680807,91389,0.02,0.04,4,92.67,621,255,0.0,22.896,19.292,33.316,758.0,406.0,0.332,51,12.0,22.0,89.05
20250602-131651,19680807,91389,0.02,0.04,4,95.16,709,70,0.0,23.896,22.623,36.654,808.0,418.0,0.332,45,12.0,24.0,92.85
20250602-131651,19680807,91389,0.02,0.04,4,97.67,760,251,0.407,23.896,23.708,39.989,817.0,427.0,0.303,46,16.0,26.0,97.2
20250602-131651,19680807,91389,0.02,0.04,4,100.18,703,209,0.0,24.896,23.708,39.989,817.0,427.0,0.303,41,15.0,26.0,97.2
20250602-131651,19680807,91389,0.02,0.04,4,102.68,676,184,0.0,25.896,23.708,39.989,817.0,427.0,0.303,38,15.0,26.0,97.2
20250602-131651,19680807,91389,0.02,0.04,4,105.19,512,228,0.508,25.896,28.816,43.538,927.0,436.0,0.264,63,20.0,28.000000000000004,104.15
20250602-131651,19680807,91389,0.02,0.04,4,107.69,190,91,1.0,25.896,28.816,43.538,927.0,436.0,0.264,63,20.0,28.000000000000004,104.15
20250602-131651,19680807,91389,0.02,0.04,4,110.2,197,76,0.0,27.896,26.896,43.538,861.0,436.0,0.28,56,19.0,28.000000000000004,104.15
20250602-131651,19680807,91389,0.02,0.04,4,112.69,154,81,1.0,27.896,36.121,47.176,1015.0,463.0,0.285,56,22.0,30.0,110.73
20250602-131651,19680807,91389,0.02,0.04,4,115.2,118,99,1.0,28.896,36.121,47.176,1015.0,463.0,0.285,56,21.0,30.0,110.73
20250602-131651,19680807,91389,0.02,0.04,4,117.71,156,70,0.0,30.896,36.121,47.176,1015.0,463.0,0.285,53,20.0,30.0,110.73
20250602-131651,19680807,91389,0.02,0.04,4,120.2,159,206,0.566,30.896,37.676,51.054,1054.0,489.0,0.288,61,24.0,33.0,119.6
20250602-131651,19680807,91389,0.02,0.04,4,122.71,178,241,0.0,31.896,36.916,51.054,1022.0,489.0,0.239,61,24.0,33.0,119.6
20250602-131651,19680807,91389,0.02,0.04,4,125.21,347,123,1.0,31.896,35.916,51.054,1004.0,489.0,0.24,61,24.0,33.0,119.6
20250602-131651,19680807,91389,0.02,0.04,4,125.4,365,95,1.0,31.896,45.408,54.903,1194.0,496.0,0.24,100,30.0,35.0,125.4
