pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.3,0.7946191922444319,0.7946191922444319,61.0,61.0
9.61,2.326605211526897,2.326605211526897,105.0,105.0
14.97,4.476887908060894,4.476887908060894,142.0,140.0
23.51,7.371817823263082,6.8327403328065195,255.0,159.0
32.9,8.281269032310142,9.373932375221962,210.0,180.0
37.51,10.01233351314381,12.098625101833404,285.0,203.0
46.03,12.223850406401498,14.935209288083204,199.0,201.0
55.33,20.088060379560346,17.89563185290228,524.0,226.0
60.72,16.56588785384789,20.90961988270579,394.0,218.0
66.33,20.009002782606416,24.0551081464741,305.0,247.0
70.53,25.097647475127616,27.387217510959857,344.0,248.0
74.0,27.214474133097116,30.673466823147333,259.0,273.0
83.84,32.00837351159851,34.299252323854844,351.0,272.0
90.08,39.61712698911448,37.84855157730222,513.0,306.0
94.45,45.152339536662204,41.67795499147745,469.0,294.0
