pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.19,0.794619192244432,0.794619192244432,59.0,59.0
9.62,2.326605211526897,2.326605211526897,108.0,106.0
15.27,5.359006353488901,4.476887908060894,196.0,144.0
22.86,7.8549747945597765,7.082323236283005,183.0,164.0
29.4,10.77331654022501,10.00066498194824,193.0,200.0
35.94,12.016745785954376,13.214778177310201,195.0,210.0
44.54,11.224628681269728,16.55534617698596,127.0,248.0
53.5,15.83621931498301,19.716159850257757,330.0,207.0
63.38,17.158119306767546,23.315995449059514,223.0,260.0
72.8,19.154754224103684,26.651193963989375,204.0,264.0
75.99,17.628066017506832,30.532356583226207,97.0,265.0
79.27,18.315993359187416,34.05335713799941,78.0,286.0
82.92,20.34537822581089,38.184111252174404,150.0,321.0
89.3,22.529170955555742,41.90391068168598,177.0,308.0
96.79,22.693397572217457,46.340060397817155,167.0,350.0
103.16,28.881166890764515,50.26307112457703,412.0,332.0
112.81,39.38731524229608,54.98872184069775,456.0,321.0
