datetime_id,randseed,trial,Vmin,threshold,H,run_time,dozer_x,dozer_y,dozer_Qs,dozer_Qs_tot,washover_V_D,washover_V_ND,washover_A_D,washover_A_ND,lateral_disp,danger_score,crest_mu_D,crest_mu_ND,pulse_time
20250602-121643,1375305563,8794,0.02,0.04,4,0.0,480,540,0.0,0.0,0.527,0.527,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-121643,1375305563,8794,0.02,0.04,4,2.52,480,540,0.0,0.0,0.527,0.527,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-121643,1375305563,8794,0.02,0.04,4,5.02,513,329,0.0,0.0,1.122,1.122,107.0,107.0,0.0,12,1.0,1.0,3.22
20250602-121643,1375305563,8794,0.02,0.04,4,7.53,537,131,0.0,0.06,1.081,1.122,107.0,107.0,0.0,12,1.0,1.0,3.22
20250602-121643,1375305563,8794,0.02,0.04,4,10.02,545,183,0.0,0.639,2.515,2.55,169.0,166.0,0.0,18,2.0,2.0,7.56
20250602-121643,1375305563,8794,0.02,0.04,4,12.54,584,122,0.0,1.318,2.515,2.55,169.0,166.0,0.0,18,2.0,2.0,7.56
20250602-121643,1375305563,8794,0.02,0.04,4,15.04,494,216,0.054,1.318,3.777,4.495,209.0,210.0,0.0,33,4.0,4.0,13.93
20250602-121643,1375305563,8794,0.02,0.04,4,17.53,257,75,0.0,2.318,3.777,4.495,209.0,210.0,0.0,27,3.0,4.0,13.93
20250602-121643,1375305563,8794,0.02,0.04,4,20.04,244,67,1.0,2.318,5.582,6.86,304.0,252.0,0.028,41,7.000000000000001,5.0,19.56
20250602-121643,1375305563,8794,0.02,0.04,4,22.54,231,116,0.616,3.318,5.582,6.86,304.0,252.0,0.028,41,7.000000000000001,5.0,19.56
20250602-121643,1375305563,8794,0.02,0.04,4,25.06,260,203,0.144,4.318,5.582,6.86,304.0,252.0,0.028,41,6.0,5.0,19.56
20250602-121643,1375305563,8794,0.02,0.04,4,27.56,595,77,1.0,4.318,10.969,9.52,624.0,298.0,0.022,41,6.0,7.000000000000001,26.86
20250602-121643,1375305563,8794,0.02,0.04,4,30.05,593,93,0.0,6.318,10.969,9.52,624.0,298.0,0.022,36,6.0,7.000000000000001,26.86
20250602-121643,1375305563,8794,0.02,0.04,4,32.56,559,140,0.0,7.318,10.969,12.413,675.0,337.0,0.01,28,6.0,9.0,32.25
20250602-121643,1375305563,8794,0.02,0.04,4,35.07,559,205,0.479,7.318,10.969,12.413,675.0,337.0,0.01,28,6.0,9.0,32.25
20250602-121643,1375305563,8794,0.02,0.04,4,37.58,536,258,0.0,8.318,10.969,12.413,675.0,337.0,0.01,28,6.0,9.0,32.25
20250602-121643,1375305563,8794,0.02,0.04,4,40.08,611,66,1.0,8.318,10.969,12.413,675.0,337.0,0.01,28,6.0,9.0,32.25
20250602-121643,1375305563,8794,0.02,0.04,4,42.59,679,222,0.133,9.318,12.08,15.494,696.0,362.0,0.0,40,6.0,10.0,41.85
